id,host_yrs_experience,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,bed_type,charge_cleaning_fee,guests_included,charge_extra_people,availability_60,number_of_reviews,review_recency,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,review_scores_rating,target_recommendation_numeric,target_recommendation
16831523,4.1,within a day,69%,f,1,f,4,1,1,4,Real Bed,t,1,f,0,2,3.03,5,4,5,7,9,5,t,flexible,0.58,40,0,bad
9997542,4.2,within a day,57%,f,9,t,3,1,1,1,Real Bed,t,2,t,60,2,4.01,3,3,5,6,7,4,f,strict,0.12,40,0,bad
13882298,4.3,N/A,N/A,f,1,f,2,1,1,1,Real Bed,t,1,t,0,1,3.47,6,6,4,2,6,,f,flexible,0.12,40,0,bad
10236205,4.2,N/A,N/A,f,2,t,2,1,1,1,Real Bed,t,1,t,59,2,4.05,4,4,10,10,6,4,f,moderate,0.12,40,0,bad
3655131,6.1,N/A,N/A,f,1,t,2,1,1,1,Real Bed,t,1,f,16,2,3.44,7,6,9,7,10,5,f,strict,0.21,40,0,bad
3572321,6.3,within a day,90%,f,5,f,4,1,1,2,Real Bed,t,2,t,60,1,4.86,6,2,6,4,8,2,f,flexible,0.04,40,0,bad
7859270,4.5,N/A,N/A,f,1,t,1,1,1,1,Real Bed,f,1,f,60,1,3.51,10,10,4,4,4,4,f,flexible,0.11,40,0,bad
4471138,5.8,within an hour,100%,f,11,t,2,0,1,1,Real Bed,t,2,t,60,1,4.39,6,4,6,10,4,6,f,strict,0.05,40,0,bad
7128675,6.9,within a few hours,100%,f,1,t,4,2,3,3,Real Bed,t,2,t,58,1,2.84,6,8,10,2,6,6,f,strict,1,40,0,bad
13592465,4.3,N/A,N/A,f,1,t,5,2,3,3,Real Bed,t,1,f,0,2,3.50,6,2,8,6,6,4,t,flexible,0.21,40,0,bad
15955130,3.8,within a few hours,100%,f,3,f,8,2,3,4,Real Bed,t,7,t,0,1,3.15,6,4,10,6,6,6,f,moderate,0.24,40,0,bad
14059082,3.6,a few days or more,0%,f,1,f,2,1,1,1,Real Bed,f,1,f,59,2,3.51,2,2,6,6,8,2,f,flexible,0.21,40,0,bad
12558558,4.0,a few days or more,33%,f,8,f,2,1,1,1,Real Bed,f,1,t,60,2,3.67,4,4,4,4,3,3,t,flexible,0.16,40,0,bad
10691240,4.1,N/A,N/A,f,1,f,2,1,1,2,Real Bed,f,1,f,0,1,3.95,4,4,8,6,4,2,f,flexible,0.07,40,0,bad
14215500,5.9,N/A,N/A,f,1,t,4,1,1,1,Real Bed,t,1,f,0,1,3.47,6,2,6,8,6,4,f,flexible,0.12,40,0,bad
13191447,5.4,within an hour,100%,f,50,t,4,1,1,4,Real Bed,t,1,t,60,1,3.48,6,6,2,2,10,6,f,flexible,0.12,40,0,bad
16477747,3.2,within an hour,100%,f,2,f,2,1,1,2,Real Bed,f,1,f,60,1,3.10,4,4,6,6,6,2,t,flexible,0.28,40,0,bad
7032225,9.5,within an hour,100%,t,5,t,10,4.5,4,6,Real Bed,f,1,f,60,1,3.87,2,10,10,10,10,8,f,super_strict_60,0.08,40,0,bad
18426357,6.6,within a day,50%,f,1,f,2,1,1,1,Real Bed,f,1,f,0,1,2.81,4,6,6,4,10,4,f,flexible,1,40,0,bad
18231512,4.3,within an hour,100%,f,3,t,3,1,1,1,Real Bed,t,3,t,13,1,2.84,2,6,2,4,10,2,t,flexible,1,40,0,bad
8311927,4.4,within an hour,100%,f,1,f,6,2,2,2,Real Bed,t,1,f,60,2,3.63,6,2,4,6,8,4,f,moderate,0.19,40,0,bad
13496627,4.7,within a few hours,97%,f,8,t,1,1,1,1,Real Bed,t,1,t,58,3,3.33,4,5,7,7,7,5,f,strict,0.35,40,0,bad
17686630,5.4,within an hour,100%,f,2,f,4,1,2,3,Real Bed,t,1,f,28,2,2.88,7,4,9,9,8,7,t,strict,1.54,40,0,bad
13064650,7.6,within an hour,100%,f,18,t,2,1,1,1,Real Bed,t,2,t,60,1,3.68,8,6,6,4,10,6,f,moderate,0.09,40,0,bad
13508254,4.2,N/A,N/A,f,1,t,2,1,1,1,Real Bed,f,1,f,0,1,3.62,2,4,6,4,4,4,f,flexible,0.1,40,0,bad
6676113,5.8,N/A,N/A,f,1,f,5,1.5,2,2,Real Bed,f,1,f,0,2,4.13,2,2,6,6,8,2,f,strict,0.1,40,0,bad
2592275,6.5,N/A,N/A,f,2,f,2,1,1,1,Real Bed,t,1,t,59,1,4.63,4,2,10,8,10,10,f,strict,0.04,40,0,bad
14492222,3.5,a few days or more,33%,f,1,f,5,3,2,2,Real Bed,t,2,t,58,2,2.98,,,,,,,f,strict,0.46,40,0,bad
9739269,4.6,N/A,N/A,f,1,t,3,1,1,2,Real Bed,t,1,f,0,1,4.14,8,8,10,10,10,2,f,flexible,0.06,40,0,bad
11863509,6.3,N/A,N/A,f,1,t,2,1,1,1,Real Bed,t,1,f,0,1,3.73,8,2,6,8,10,2,f,moderate,0.09,40,0,bad
10332831,4.7,N/A,N/A,f,1,t,2,1,1,1,Real Bed,t,1,t,58,1,3.44,4,2,8,8,8,6,f,strict,0.13,40,0,bad
17994684,2.9,within a few hours,75%,f,2,f,2,1,1,2,Real Bed,t,1,f,50,1,2.88,2,6,10,10,10,10,t,flexible,0.94,40,0,bad
8673594,4.4,within an hour,90%,f,25,f,2,1.5,1,3,Real Bed,f,1,t,59,1,3.63,10,10,2,2,6,10,f,flexible,0.1,40,0,bad
15567071,3.4,within an hour,100%,f,23,t,3,1,1,1,Real Bed,t,1,f,0,1,3.31,6,6,4,8,8,6,t,moderate,0.16,40,0,bad
15602372,3.8,within a few hours,96%,f,27,f,5,2,2,3,Real Bed,t,1,f,47,3,3.02,5,7,7,7,10,5,f,flexible,0.55,47,0,bad
10334372,5.2,within a few hours,100%,f,7,t,2,1,1,2,Real Bed,t,1,t,60,10,2.95,6,4,7,7,6,5,f,strict,0.78,49,0,bad
6044612,5.0,within a few hours,90%,f,8,t,5,1,1,2,Real Bed,f,2,t,60,2,3.62,6,6,7,5,6,6,f,strict,0.15,50,0,bad
17270031,3.3,within an hour,100%,f,15,f,6,1,1,6,Real Bed,f,2,t,32,2,2.89,6,7,6,5,8,5,f,strict,0.9,50,0,bad
16946007,3.4,within an hour,100%,f,3,t,3,1,0,2,Real Bed,t,1,t,39,4,2.88,5,9,7,7,9,6,t,moderate,1.64,50,0,bad
17623880,3.2,within a day,50%,f,1,t,2,1,0,1,Real Bed,t,1,t,52,3,2.91,5,5,7,9,8,5,f,strict,1.91,50,0,bad
17300088,3.8,within an hour,99%,f,21,t,4,2,2,3,Real Bed,t,1,f,28,2,2.84,5,7,9,6,6,5,f,strict,2,50,0,bad
16963374,3.1,within an hour,100%,f,9,t,5,1,2,3,Real Bed,t,1,f,57,2,2.84,6,5,8,6,7,6,t,strict,2,50,0,bad
619348,7.7,within a day,78%,f,10,f,4,2.5,1,4,Real Bed,t,1,t,60,2,4.46,6,6,4,4,5,4,f,flexible,0.09,50,0,bad
18035946,4.0,within an hour,89%,f,1,t,4,1,0,2,Real Bed,t,1,t,23,4,2.81,7,3,7,9,7,5,t,strict,4,50,0,bad
16465059,3.2,within an hour,100%,f,2,f,2,1,1,1,Real Bed,f,1,t,60,2,3.00,6,5,7,7,4,6,t,flexible,0.64,50,0,bad
16570610,3.8,within an hour,100%,f,2,t,5,2,2,2,Real Bed,t,1,f,59,2,2.95,4,4,3,3,3,4,t,strict,0.58,50,0,bad
10554306,5.2,within an hour,96%,f,17,t,3,1,1,2,Real Bed,t,1,t,52,2,3.13,5,9,7,5,7,7,t,strict,0.45,50,0,bad
11870133,4.3,within a day,70%,f,3,t,4,2,2,4,Real Bed,t,1,f,60,2,2.86,7,5,10,9,10,6,f,strict,0.34,50,0,bad
13078273,4.6,within a few hours,80%,f,4,f,5,2,2,4,Real Bed,t,1,f,46,2,3.40,7,4,8,6,9,8,f,strict,0.24,50,0,bad
15904904,4.2,N/A,N/A,f,1,t,1,1,1,1,Real Bed,t,1,t,60,2,3.24,9,5,5,6,10,5,t,strict,0.36,50,0,bad
16797849,7.1,within an hour,100%,f,103,t,6,3,4,3,Real Bed,t,4,t,42,2,2.95,8,8,8,6,6,8,f,strict,0.87,50,0,bad
18008382,4.1,within an hour,96%,f,2,f,1,1,1,1,Real Bed,f,1,f,58,2,2.83,10,10,10,10,8,8,f,flexible,1.87,50,0,bad
13926600,8.4,within a day,90%,f,16,t,5,1,1,5,Real Bed,f,3,t,60,3,3.49,6,6,6,4,6,5,f,strict,0.31,50,0,bad
7621370,8.1,within a day,58%,f,3,t,2,2,2,2,Real Bed,t,4,t,7,2,4.45,7,5,9,7,10,6,f,flexible,0.1,50,0,bad
3304165,8.4,within a day,90%,f,16,t,2,1,1,2,Real Bed,f,2,t,60,2,3.50,5,5,4,3,7,5,f,strict,0.07,50,0,bad
13190808,3.8,N/A,N/A,f,1,f,2,1,1,1,Real Bed,t,1,f,43,5,3.00,7,5,7,8,8,7,f,moderate,0.5,52,0,bad
8241047,4.5,within an hour,100%,f,8,f,2,0.5,1,1,Real Bed,t,1,f,60,3,2.86,9,7,7,7,5,5,t,moderate,0.16,53,0,bad
14613526,3.5,within an hour,100%,f,1,t,1,1,1,4,Real Bed,f,1,f,60,3,3.33,5,6,7,7,7,5,f,flexible,0.37,53,0,bad
15394983,3.6,within a few hours,100%,f,2,f,2,1,1,1,Real Bed,t,1,t,53,3,3.16,6,6,7,7,7,7,f,strict,0.48,53,0,bad
10693146,5.2,within a few hours,100%,f,45,t,4,1,1,2,Real Bed,t,1,t,56,3,3.67,7,9,7,7,9,7,f,strict,0.2,53,0,bad
8653816,4.4,N/A,N/A,f,1,t,1,1,1,1,Real Bed,t,1,f,0,3,4.10,5,6,7,7,7,5,f,strict,0.18,53,0,bad
10158601,4.7,within a few hours,90%,f,10,t,4,1,1,2,Real Bed,t,2,t,60,3,3.61,6,5,7,8,5,6,t,moderate,0.25,53,0,bad
13563608,3.7,within an hour,100%,f,5,f,1,1,1,1,Real Bed,t,1,t,60,3,3.20,5,5,8,6,9,6,f,strict,0.33,53,0,bad
16942171,3.1,within an hour,100%,f,1,f,3,1,0,2,Real Bed,t,2,t,35,7,2.93,6,7,8,8,6,7,t,moderate,2.44,54,0,bad
6660521,4.7,within a few hours,100%,f,2,t,8,1.5,3,3,Real Bed,t,1,f,1,4,4.14,6,5,5,5,8,6,f,strict,0.21,55,0,bad
